question,reponse,categorie,niveau_difficulte
"Qu'est-ce que le prélèvement à la source ?","C'est un système où l'impôt sur le revenu est prélevé directement sur le salaire ou la pension, mois par mois, plutôt que payé en une fois avec un décalage d'un an.",Concept fiscalite,Moyen
"Comment remplir un chèque ?","Il faut indiquer : le montant en chiffres, le montant en lettres, le lieu et la date, le bénéficiaire, et signer. Ne pas laisser de blancs pour éviter les falsifications.",Moyens paiement,Facile
"Qu'est-ce qu'une opposition bancaire ?","L'opposition est une demande faite à sa banque pour bloquer un moyen de paiement (carte, chèque) en cas de perte ou de vol. Elle doit être faite rapidement.",Securite argent,Facile
"Qu'est-ce que le plafond de carte bancaire ?","C'est le montant maximum que l'on peut dépenser ou retirer avec sa carte sur une période donnée (généralement 30 jours). Il est fixé par la banque et peut être modifié.",Moyens paiement,Facile
"Qu'est-ce qu'un code confidentiel (PIN) ?","C'est un code secret à 4 ou 6 chiffres qui permet d'authentifier le titulaire de la carte lors d'un retrait ou d'un paiement. Il ne doit jamais être communiqué.",Securite argent,Facile
"Que faire en cas de perte de sa carte bancaire ?","Faire immédiatement opposition auprès de sa banque (numéro d'urgence 24h/24), puis confirmer par écrit. Conserver le numéro de la carte pour faciliter l'opposition.",Securite argent,Facile
"Qu'est-ce qu'un microcrédit ?","Le microcrédit est un prêt de petit montant (quelques milliers d'euros) accordé à des personnes exclues du système bancaire classique, souvent associé à un accompagnement social.",Concept credit,Moyen
"Qu'est-ce que l'usure ?","L'usure est le taux d'intérêt maximum légal qu'un prêteur ne peut pas dépasser. Ce taux, fixé par la Banque de France, protège les emprunteurs contre les crédits trop chers.",Concept credit,Difficile
"Qu'est-ce qu'un fichier d'incidents de remboursement (FICP) ?","Le FICP (Fichier des Incidents de remboursement des Crédits aux Particuliers) recense les personnes ayant eu des incidents de paiement sur leurs crédits. Il est géré par la Banque de France.",Concept credit,Difficile
"Comment sortir du surendettement ?","Déposer un dossier de surendettement à la Banque de France. Une commission examine la situation et peut proposer un plan de redressement (rééchelonnement des dettes, effacement partiel).",Concept credit,Difficile
"Qu'est-ce qu'une faillite personnelle ?","La faillite personnelle est une procédure légale (au Canada) pour une personne incapable de payer ses dettes. Elle entraîne la cession de certains actifs et annule la plupart des dettes, mais a des conséquences sur la cote de crédit.",Concept credit,Difficile
"Qu'est-ce que le REEE au Canada ?","Le REEE (Régime enregistré d'épargne-études) est un compte d'épargne canadien qui permet d'épargner pour les études postsecondaires d'un enfant. Le gouvernement contribue via la Subvention canadienne pour l'épargne-études.",Produit epargne,Difficile
"Qu'est-ce que le CELI au Canada ?","Le CELI (Compte d'épargne libre d'impôt) permet aux Canadiens de 18 ans et plus de placer de l'argent à l'abri de l'impôt. Les cotisations ne sont pas déductibles, mais les gains et retraits sont exonérés d'impôt.",Produit epargne,Difficile
"Quelle est la différence entre un REER et un CELI ?","Les cotisations au REER sont déductibles du revenu imposable, mais les retraits sont imposés. Les cotisations au CELI ne sont pas déductibles, mais les retraits et gains sont libres d'impôt.",Concept fiscalite,Difficile
"Comment calculer son reste à vivre ?","Reste à vivre = Revenus nets - Dépenses fixes obligatoires (loyer, crédits, assurances, factures). C'est ce qu'il reste pour l'alimentation, les loisirs et l'épargne.",Calcul budget,Moyen
"Qu'est-ce qu'une dépense fixe ?","Une dépense fixe est une dépense mensuelle récurrente et constante : loyer, crédit immobilier, abonnement internet, assurance.",Concept budget,Facile
"Qu'est-ce qu'une dépense variable ?","Une dépense variable change d'un mois à l'autre : alimentation, essence, loisirs, vêtements.",Concept budget,Facile
"Qu'est-ce qu'un virement bancaire ?","Le virement est une opération bancaire permettant le transfert d'argent d'un compte bancaire à un autre, sans manipulation d'espèces.",Moyens paiement,Facile
"Qu'est-ce qu'un prélèvement automatique ?","C'est une autorisation donnée à un créancier (fournisseur d'énergie, assurance) de prélever directement le montant dû sur le compte bancaire à une date convenue.",Moyens paiement,Facile
"Quels sont les avantages du prélèvement automatique ?","Il évite les oublis de paiement, les frais de retard, et permet une meilleure gestion budgétaire. L'épargne peut aussi être automatisée.",Astuces budget,Facile
"Quels sont les risques du prélèvement automatique ?","En cas de somme insuffisante, le prélèvement peut être rejeté avec des frais. Il faut aussi surveiller les montants pour détecter des erreurs ou des augmentations non justifiées.",Astuces budget,Moyen
"Qu'est-ce que l'assurance emprunteur ?","C'est une assurance obligatoire pour un crédit immobilier. Elle couvre le remboursement du prêt en cas de décès, d'invalidité ou d'incapacité de travail de l'emprunteur.",Concept assurance,Moyen
"Qu'est-ce que la délégation d'assurance ?","C'est la possibilité pour un emprunteur de souscrire une assurance auprès d'un assureur différent de celui de sa banque, souvent à des conditions plus avantageuses.",Concept assurance,Moyen
"Qu'est-ce que le taux nominal d'un crédit ?","C'est le taux d'intérêt de base du crédit, hors frais de dossier et assurance. Il ne reflète pas le coût total réel du crédit.",Concept credit,Moyen
"Qu'est-ce que le taux débiteur ?","C'est le taux d'intérêt appliqué sur le montant emprunté, hors frais annexes. Pour un crédit immobilier, c'est le taux affiché.",Concept credit,Moyen
"Qu'est-ce que le TAEG dans un crédit immobilier ?","Le TAEG (Taux Annuel Effectif Global) inclut le taux d'intérêt, les frais de dossier, l'assurance et tous les autres frais obligatoires. C'est le taux à comparer entre offres.",Concept credit,Difficile
"Comment comparer deux offres de crédit ?","Comparer le TAEG, le coût total du crédit, la durée, le montant des mensualités, et les conditions de remboursement anticipé (frais éventuels).",Concept credit,Moyen
"Qu'est-ce qu'un rachat de crédit ?","Le rachat de crédit (ou regroupement) consiste à rassembler plusieurs crédits en un seul prêt, avec une mensualité unique. Cela peut réduire la mensualité mais allonge la durée et augmente le coût total.",Concept credit,Difficile
"Qu'est-ce que la capacité d'emprunt ?","C'est le montant maximum qu'une banque peut prêter à une personne, calculé en fonction de ses revenus, de son taux d'endettement (max 33%) et de son apport personnel.",Concept credit,Moyen
"Qu'est-ce que l'apport personnel ?","L'apport personnel est la somme d'argent qu'un acheteur apporte de ses propres fonds pour financer un achat (immobilier, voiture). Plus l'apport est élevé, meilleures sont les conditions de prêt.",Concept credit,Moyen
"Qu'est-ce que la durée d'un crédit immobilier ?","C'est la période sur laquelle le prêt est remboursé, généralement entre 15 et 25 ans. Une durée plus longue réduit les mensualités mais augmente le coût total des intérêts.",Concept credit,Moyen
"Qu'est-ce qu'un prêt à taux fixe ?","Un prêt à taux fixe a un taux d'intérêt qui ne change pas pendant toute la durée du prêt. Les mensualités sont constantes et prévisibles.",Concept credit,Facile
"Qu'est-ce qu'un prêt à taux variable ?","Un prêt à taux variable a un taux d'intérêt qui peut évoluer à la hausse ou à la baisse selon un indice de référence. Les mensualités peuvent varier.",Concept credit,Moyen
"Quels sont les risques d'un prêt à taux variable ?","Si les taux augmentent, les mensualités augmentent. L'emprunteur peut ne plus être en mesure de payer. Certains prêts ont un taux plafonné (cap) pour limiter la hausse.",Concept credit,Difficile
"Qu'est-ce qu'une mensualité constante ?","Dans un crédit amortissable à taux fixe, la mensualité (capital + intérêts) est constante sur toute la durée. La part d'intérêts diminue et la part de capital augmente.",Concept credit,Moyen
"Qu'est-ce que le tableau d'amortissement ?","C'est un document qui détaille, pour chaque mensualité d'un crédit, la répartition entre le remboursement du capital et les intérêts, ainsi que le capital restant dû.",Concept credit,Moyen
"Qu'est-ce qu'un crédit revolving ?","Le crédit revolving (ou renouvelable) est une réserve d'argent permanente que l'on peut utiliser partiellement et reconstituer au fur et à mesure des remboursements. Il a des taux d'intérêt souvent élevés.",Concept credit,Moyen
"Pourquoi le crédit revolving est-il dangereux ?","Il encourage la consommation continue, a des taux élevés (souvent >15-20%), et peut conduire à un surendettement progressif. Il faut l'éviter ou l'utiliser avec parcimonie.",Concept credit,Difficile
"Qu'est-ce que la règle des 50/30/20 ?","C'est une méthode simple de budgétisation : 50% des revenus pour les besoins (logement, nourriture), 30% pour les désirs (loisirs), 20% pour l'épargne et le remboursement des dettes.",Concept budget,Moyen
"Comment commencer à épargner avec un petit revenu ?","Commencer par épargner ne serait-ce que 10€ par mois via un virement automatique. L'important est de prendre l'habitude. Augmenter progressivement. Utiliser les applis d'arrondi.",Astuces epargne,Facile
"Qu'est-ce que la méthode des enveloppes ?","Méthode de budgétisation physique : on répartit l'argent liquide dans des enveloppes étiquetées (courses, loisirs, transport). Quand une enveloppe est vide, on ne dépense plus dans cette catégorie.",Astuces budget,Facile
"Qu'est-ce que le 'facteur latte' ?","Concept popularisé par David Bach : les petites dépenses quotidiennes (café, soda, cigarette) qui, additionnées sur l'année, représentent des sommes importantes (plusieurs centaines d'euros) qu'on aurait pu épargner.",Astuces budget,Facile
"Comment économiser sur le transport ?","Utiliser les transports en commun, le covoiturage, le vélo. Entretenir sa voiture (pression des pneus, conduite souple). Comparer les assurances. Éviter les prêts auto longs.",Astuces budget,Facile
"Comment économiser sur l'énergie ?","Isoler son logement, baisser le chauffage de 1°C (économie de 7%), utiliser des ampoules LED, débrancher les veilles, laver à 30°C, faire sécher à l'air libre.",Astuces budget,Facile
"Qu'est-ce que l'indice des prix à la consommation (IPC) ?","L'IPC mesure l'évolution du niveau des prix d'un panier représentatif de biens et services consommés par les ménages. Il sert à calculer l'inflation.",Concept economie,Moyen
"Qu'est-ce que le taux directeur de la BCE ?","C'est le taux d'intérêt auquel la Banque Centrale Européenne prête de l'argent aux banques commerciales. Il influence tous les autres taux (crédits, épargne).",Concept economie,Difficile
"Comment le taux directeur influence-t-il l'épargne ?","Quand la BCE augmente son taux, les banques augmentent les taux des livrets d'épargne (livret A, LDDS). L'épargne rapporte plus.",Concept economie,Difficile
"Comment le taux directeur influence-t-il les crédits ?","Quand la BCE augmente son taux, les crédits deviennent plus chers (taux plus élevés). Cela ralentit l'emprunt et l'économie.",Concept economie,Difficile
"Qu'est-ce que la Banque de France ?","La Banque de France est l'institution nationale qui participe à la politique monétaire de la zone euro, gère les comptes de l'État, régule le crédit, et assure l'éducation financière.",Histoire finance,Moyen
"Où se trouve la Galerie dorée de la Banque de France ?","À Paris, dans l'hôtel de la Vrillière, siège historique de la Banque de France. Elle mesure 40 mètres de long.",Histoire finance,Facile
"Qu'est-ce que le droit au compte ?","C'est le droit pour toute personne, même sans compte bancaire, de se voir ouvrir un compte de dépôt par une banque, selon des conditions prévues par la loi.",Concept banque,Moyen
"Qu'est-ce que la mobilité bancaire ?","Service offert par la banque pour faciliter le changement d'établissement : elle se charge des formalités de transfert des prélèvements et virements récurrents sur autorisation du client.",Concept banque,Moyen
"Qu'est-ce qu'un compte à frais modiques ?","Au Canada, un compte bancaire dont les frais mensuels ne dépassent pas 4$. Tous les Canadiens ont droit à ce type de compte.",Concept banque,Facile
"Qu'est-ce qu'une cote de crédit ?","Au Canada, la cote de crédit est un nombre entre 300 et 900 qui reflète la solvabilité d'une personne. Plus elle est élevée, plus le risque pour le prêteur est faible.",Concept credit,Difficile
"Comment améliorer sa cote de crédit ?","Payer toutes ses factures à temps, ne pas utiliser plus de 30% de sa limite de crédit, garder ses anciens comptes ouverts, limiter les demandes de crédit.",Concept credit,Difficile
"Où consulter gratuitement son dossier de crédit au Canada ?","Auprès d'Equifax Canada et de TransUnion Canada. On peut le demander en ligne, par courrier ou en personne, gratuitement.",Concept credit,Difficile
"Qu'est-ce qu'une proposition de consommateur ?","Au Canada, c'est une offre faite par un débiteur à ses créanciers, via un syndic autorisé, pour rembourser une partie de ses dettes. Évite la faillite.",Concept credit,Difficile
"Qu'est-ce qu'un syndic autorisé en insolvabilité ?","Professionnel sous réglementation fédérale (Canada) qui fournit des conseils et services aux personnes ayant des problèmes d'endettement (proposition de consommateur, faillite).",Concept credit,Difficile
"Qu'est-ce que l'assurance scolaire ?","Elle couvre la responsabilité civile de l'enfant pendant les activités scolaires et périscolaires. Elle est généralement incluse dans l'assurance habitation.",Concept assurance,Facile
"Que faire si on est victime d'une fraude bancaire ?","Contacter immédiatement sa banque pour faire opposition. Porter plainte. Contacter le Centre antifraude du Canada (ou France). Changer ses mots de passe.",Securite argent,Moyen
"Qu'est-ce que l'hameçonnage (phishing) ?","Technique de fraude où un escroc se fait passer pour un organisme légitime (banque, impôts) par email, SMS ou téléphone pour voler des informations personnelles (identifiants, numéros de carte).",Securite argent,Moyen
"Comment reconnaître un email d'hameçonnage ?","Orthographe approximative, demande urgente d'informations, lien suspect (passer la souris pour voir l'URL réelle), formule d'appel générique ('Cher client'), menace de blocage de compte.",Securite argent,Moyen
"Ne jamais communiquer par téléphone ou email : son code PIN, son mot de passe, son cryptogramme, ses identifiants bancaires. La banque ne demande jamais cela.",Securite argent,Facile
"Qu'est-ce qu'un paiement sans contact ?","Mode de paiement rapide avec une carte bancaire ou un téléphone, sans saisir de code PIN pour les petits montants (généralement jusqu'à 50€).",Moyens paiement,Facile
"Quelles sont les précautions avec le paiement sans contact ?","Garder sa carte en sécurité, activer les notifications pour être alerté des transactions, vérifier ses relevés. Certaines cartes ont un plafond cumulé sans contact.",Securite argent,Facile
"Qu'est-ce que l'assurance voyage ?","Elle couvre les frais médicaux à l'étranger (non pris en charge par la sécurité sociale), le rapatriement, l'annulation, et parfois le vol de bagages.",Concept assurance,Facile
"Qu'est-ce que la responsabilité civile ?","C'est l'obligation de réparer les dommages (corporels, matériels) causés à autrui. Elle est incluse dans la plupart des assurances (habitation, auto, scolaire).",Concept assurance,Facile
"Qu'est-ce qu'un contrat d'assurance ?","Document qui lie l'assureur et l'assuré. Il précise les risques couverts, les exclusions, les montants de garantie, la franchise, et la prime (cotisation).",Concept assurance,Facile
"Qu'est-ce qu'une clause d'exclusion en assurance ?","C'est une situation ou un risque qui n'est pas couvert par le contrat d'assurance. Exemple : dégâts des eaux si la maison est inhabitée depuis plus de 90 jours.",Concept assurance,Moyen
"Qu'est-ce que la surprime d'assurance auto ?","Majoration du tarif appliquée par l'assureur en raison d'un risque plus élevé (jeune conducteur, malus après accident, conduite à risque).",Concept assurance,Moyen
"Qu'est-ce que le bonus/malus en assurance auto ?","Système français : chaque année sans accident réduit le bonus (coefficient multiplicateur baisse). Chaque accident responsable augmente le malus (coefficient augmente).",Concept assurance,Moyen
"Qu'est-ce que la valeur à neuf en assurance ?","Garantie qui permet d'être indemnisé sur la base du prix d'achat d'un bien neuf équivalent, sans tenir compte de la vétusté (pour les biens de moins de 2 ans).",Concept assurance,Moyen
"Qu'est-ce que la vétusté ?","C'est la dépréciation d'un bien due à l'âge, l'usure ou l'obsolescence. L'assurance peut appliquer un coefficient de vétusté pour calculer l'indemnisation.",Concept assurance,Moyen
"Qu'est-ce qu'un compte épargne-temps (CET) ?","Dispositif permettant d'accumuler des jours de repos (RTT, congés) non pris pour les utiliser plus tard ou les monétiser.",Concept social,Facile
"Qu'est-ce que le plan d'épargne entreprise (PEE) ?","Dispositif d'épargne collectif permettant aux salariés d'accumuler des actions de l'entreprise ou des fonds, avec abondement possible de l'employeur, sous conditions.",Produit epargne,Moyen
"Qu'est-ce que l'abondement ?","C'est la contribution de l'employeur à l'épargne salariale (PEE, PERCO). Exemple : pour 100€ versés par le salarié, l'employeur ajoute 50€. C'est un avantage non imposable.",Concept social,Moyen
"Qu'est-ce que le PER (Plan d'Épargne Retraite) ?","Successeur du PERP, c'est un produit d'épargne retraite permettant d'épargner pour obtenir un capital ou une rente à la retraite. Les versements sont déductibles du revenu imposable dans la limite d'un plafond.",Produit epargne,Difficile
"Quelle est la différence entre PER individuel et PER collectif ?","Le PER individuel est souscrit librement. Le PER collectif (ex-PERCO) est mis en place par l'entreprise, avec possibilité d'abondement et de transfert des droits.",Produit epargne,Difficile
"Qu'est-ce que la rente viagère ?","Versement périodique (mensuel, trimestriel) garanti à vie. Dans un PER ou une assurance-vie, le capital peut être converti en rente viagère à la retraite.",Concept epargne,Difficile
"Qu'est-ce que le capital-décès en assurance-vie ?","Somme versée aux bénéficiaires désignés au décès de l'assuré, hors succession (sous conditions de versements avant 70 ans).",Concept assurance,Difficile
"Qu'est-ce que la clause bénéficiaire en assurance-vie ?","C'est la désignation par le souscripteur des personnes qui recevront le capital en cas de décès. La clause peut être standard ('mon conjoint, mes enfants') ou personnalisée.",Concept assurance,Difficile
"Qu'est-ce que le délai de renonciation en assurance-vie ?","Période légale de 30 jours après la signature du contrat pendant laquelle le souscripteur peut annuler son contrat sans frais.",Concept assurance,Moyen
"Qu'est-ce que le fonds euros en assurance-vie ?","Support d'investissement sécurisé en assurance-vie, qui garantit le capital et offre un rendement annuel (faible mais positif). Les intérêts sont capitalisés.",Produit epargne,Moyen
"Qu'est-ce que les unités de compte (UC) en assurance-vie ?","Supports d'investissement non garantis (actions, obligations, SCPI) dont la valeur varie à la hausse comme à la baisse. Le risque est plus élevé que le fonds euros.",Produit epargne,Moyen
"Qu'est-ce qu'une SCPI ?","Société Civile de Placement Immobilier : permet d'investir dans l'immobilier (bureaux, commerces) indirectement, en achetant des parts. Les revenus viennent des loyers.",Concept investissement,Difficile
"Qu'est-ce que le rendement d'une SCPI ?","C'est le rapport entre le dividende distribué et le prix de la part. Il varie généralement entre 4% et 6% par an, mais le capital n'est pas garanti.",Concept investissement,Difficile
"Qu'est-ce qu'un tracker (ETF) ?","Exchange Traded Fund : fonds indiciel coté en bourse qui réplique la performance d'un indice (CAC 40, S&P 500). Frais réduits, gestion passive.",Concept investissement,Difficile
"Qu'est-ce que la diversification des placements ?","Stratégie consistant à répartir son épargne sur différents types d'actifs (actions, obligations, immobilier, liquide) pour réduire le risque global.",Concept investissement,Moyen
"Qu'est-ce que le rendement d'un placement ?","C'est le gain (ou la perte) généré par un placement, exprimé en pourcentage du capital investi. Il peut venir de revenus (intérêts, dividendes) ou de plus-value.",Concept investissement,Moyen
"Quelle est la relation entre risque et rendement ?","Plus le rendement potentiel est élevé, plus le risque est élevé. Il n'existe pas de placement à la fois sans risque et à fort rendement. Méfiez-vous des promesses trop belles.",Concept investissement,Facile
"Qu'est-ce qu'une obligation ?","Titre de créance émis par un État ou une entreprise. L'investisseur prête de l'argent et reçoit des intérêts (coupon). Le capital est remboursé à l'échéance.",Concept investissement,Moyen
